Program Name,Program Type
Loyola University Medical Center,Oral and Maxillofacial Surgery
Thomas Jefferson University Hospital,Oral and Maxillofacial Surgery - (6 years)
The University of Mississippi Medical Center,Oral and Maxillofacial Surgery - (4 years)
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (4 years)
Indiana University,Oral and Maxillofacial Surgery
The University of Iowa Hospital and Clinic,Oral and Maxillofacial Surgery
University of Kentucky,Oral and Maxillofacial Surgery
University of Louisville,Oral and Maxillofacial Surgery
Louisiana State University School of Dentistry,Oral and Maxillofacial Surgery
Louisiana State Health Sciences Center,Oral and Maxillofacial Surgery - (6 years)
University of Maryland,Oral and Maxillofacial Surgery - (6 years)
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery
Massachusetts General Hospital,Oral and Maxillofacial Surgery
Ascension Macomb-Oakland Hospital,Oral and Maxillofacial Surgery
"University of Florida, Gainesville",Oral and Maxillofacial Surgery - (4 years)
University of Arizona College of Medicine-Phoenix,Oral and Maxillofacial Surgery - (4 years)
University of Michigan,Oral and Maxillofacial Surgery
Mayo Clinic School of Graduate Medical Education,Oral and Maxillofacial Surgery
University of Minnesota,Oral and Maxillofacial Surgery - (4 years)
University of Maryland,Oral and Maxillofacial Surgery - (4 years)
"University of Missouri-Kansas City, School of Dentistry",Oral and Maxillofacial Surgery - (6 years)
University of Nebraska Medical Center,Oral and Maxillofacial Surgery
St. Joseph's Regional Medical Center,Oral and Maxillofacial Surgery
Rutgers School of Dental Medicine,Oral and Maxillofacial Surgery - (6 years)
Rutgers School of Dental Medicine,Oral and Maxillofacial Surgery - (4 years)
Montefiore Medical Center/Albert Einstein College of Medicine,Oral and Maxillofacial Surgery
New York University College of Dentistry/Bellevue Hospital Center,Oral and Maxillofacial Surgery - (4 years)
The Brooklyn Hospital Center,Oral and Maxillofacial Surgery
New York Presbyterian Hospital - Columbia University Medical Center,Oral and Maxillofacial Surgery
Harlem Hospital Center,Oral and Maxillofacial Surgery
Kings County Hospital Center,Oral and Maxillofacial Surgery
Lincoln Medical & Mental Health Center,Oral and Maxillofacial Surgery
Zucker School of Medicine at Hofstra/Northwell at Long Island Jewish Medical Center,Oral and Maxillofacial Surgery - (4 years)
New York Medical College: Manhattan-Westchester Consortium,Oral and Maxillofacial Surgery
The Mount Sinai Hospital,Oral and Maxillofacial Surgery - (6 years)
Nassau University Medical Center,Oral and Maxillofacial Surgery
New York Presbyterian Hospital - Weill Cornell Medical Center,Oral and Maxillofacial Surgery
"One Brooklyn Health (Brookdale, Interfaith, Kingsbrook)",Oral and Maxillofacial Surgery
University at Buffalo School of Dental Medicine,Oral and Maxillofacial Surgery
Vanderbilt University Medical Center,Oral and Maxillofacial Surgery - (6 years)
Woodhull Medical Center,Oral and Maxillofacial Surgery
"University of Tennessee Graduate School of Medicine, Knoxville ",Oral and Maxillofacial Surgery - (6 years)
Case Western Reserve University,Oral and Maxillofacial Surgery
University of Pittsburgh Medical Center,Oral and Maxillofacial Surgery - (4 years)
The Ohio State University,Oral and Maxillofacial Surgery
University of Cincinnati Medical Center,Oral and Maxillofacial Surgery
University of Oklahoma College of Dentistry,Oral and Maxillofacial Surgery
Oregon Health & Science University,Oral and Maxillofacial Surgery
Allegheny General Hospital,Oral and Maxillofacial Surgery - (4 years)
Temple University Hospital,Oral and Maxillofacial Surgery
Thomas Jefferson University Hospital,Oral and Maxillofacial Surgery - (4 years)
Hospital of the University of Pennsylvania,Oral and Maxillofacial Surgery
University of Pittsburgh Medical Center,Oral and Maxillofacial Surgery - (6 years)
University of Puerto Rico,Oral and Maxillofacial Surgery
Medical University of South Carolina,Oral and Maxillofacial Surgery
"University of Tennessee Graduate School of Medicine, Knoxville ",Oral and Maxillofacial Surgery - (4 years)
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Oral and Maxillofacial Surgery
Vanderbilt University Medical Center,Oral and Maxillofacial Surgery - (4 years)
Texas A&M College of Dentistry,Oral and Maxillofacial Surgery - (4 years)
University of Texas Medical Branch at Galveston,Oral and Maxillofacial Surgery
University of Texas School of Dentistry at Houston,Oral and Maxillofacial Surgery - (4 years)
University of Texas Health Science Center at San Antonio,Oral and Maxillofacial Surgery
University of Texas Southwestern Medical Center,Oral and Maxillofacial Surgery
Virginia Commonwealth University,Oral and Maxillofacial Surgery
University of Washington,Oral and Maxillofacial Surgery - (6 years)
West Virginia University,Oral and Maxillofacial Surgery
Gundersen Lutheran,Oral and Maxillofacial Surgery
Tufts University,Oral and Maxillofacial Surgery
University of Rochester Eastman Institute for Oral Health,Oral and Maxillofacial Surgery - (4 years)
University of North Carolina at Chapel Hill Adams School of Dentistry,Oral and Maxillofacial Surgery
University of Texas School of Dentistry at Houston,Oral and Maxillofacial Surgery - (6 years)
Emory University,Oral and Maxillofacial Surgery - (6 years)
University of North Carolina at Chapel Hill Adams School of Dentistry,Operative Dentistry
Herman Ostrow School of Dentistry of USC (Operative and Adhesive Dentistry),Operative Dentistry
Tufts University,Operative Dentistry
Boston University Henry M Goldman School of Dental Medicine,Operative Dentistry (Digital Dentistry)
"University of Florida, Gainesville",Operative Dentistry
"University of California, Los Angeles",Oral and Maxillofacial Radiology
"University of Florida, Gainesville",Oral and Maxillofacial Radiology
Stony Brook University - School of Dental Medicine,Oral and Maxillofacial Radiology
Texas A&M College of Dentistry,Oral and Maxillofacial Radiology
New York University College of Dentistry,Orthodontics
University of Colorado School of Dental Medicine,Orthodontics
Medical University of South Carolina,Orthodontics
Oregon Health & Science University,Orthodontics
University of Texas School of Dentistry at Houston,Orthodontics
University of Connecticut,Orthodontics
A.T. Still University's Arizona School of Dentistry & Oral Health,Orthodontics
University of Pittsburgh,Orthodontics
Nova Southeastern University,Orthodontics
"University of the Pacific, San Francisco",Orthodontics
Tufts University,Orthodontics
Indiana University,Orthodontics
Maimonides Medical Center,Orthodontics
University of North Carolina at Chapel Hill Adams School of Dentistry,Orthodontics
Herman Ostrow School of Dentistry of USC,Orthodontics
The Ohio State University,Orthodontics
University of Louisville,Orthodontics
University of Texas Health Science Center at San Antonio,Orthodontics
University of Maryland,Orthodontics
University of Washington,Orthodontics
Mayo Clinic School of Graduate Medical Education,Orthodontics
"University of California, Los Angeles",Orthodontics
University at Buffalo School of Dental Medicine,Orthodontics
Howard University,Orthodontics
Stony Brook University - School of Dental Medicine,Orthodontics
University of Illinois at Chicago,Orthodontics
University of Alabama at Birmingham,Orthodontics
University of Kentucky,Orthodontics
Albert Einstein Medical Center,Orthodontics
Rutgers School of Dental Medicine,Orthodontics
Case Western Reserve University,Orthodontics
"University of Florida, Gainesville",Orthodontics
"University of California, San Francisco",Orthodontics
West Virginia University,Orthodontics
University of Nebraska Medical Center,Orthodontics
University of Detroit Mercy,Orthodontics
Boston University Henry M Goldman School of Dental Medicine,Orthodontics
"Temple University, Kornberg School of Dentistry",Orthodontics
St. Barnabas Hospital,Orthodontics
University of Michigan,Orthodontics
"University of Nevada, Las Vegas",Orthodontics
University of Pennsylvania,Orthodontics
Jacksonville University,Orthodontics
University of Puerto Rico,Orthodontics
Texas A&M College of Dentistry,Orthodontics
Roseman University of Health Sciences -  Nevada Campus,Orthodontics
Washington Hospital Center,Orthodontics
Dental College of Georgia at Augusta University,Orthodontics
University of Minnesota,Orthodontics
Louisiana State University School of Dentistry,Orthodontics
Virginia Commonwealth University,Orthodontics
"University of Missouri-Kansas City, School of Dentistry",Orthodontics
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Orthodontics
Seton Hill University,Orthodontics
Harvard School of Dental Medicine,Orthodontics
BronxCare Health System,Orthodontics
Columbia University College of Dental Medicine,Orthodontics
Georgia School of Orthodontics - Hudson Regional Hospital,Orthodontics
Boston University Henry M Goldman School of Dental Medicine,Orthodontics - (1 Yr. Research Fellowship)
Saint Louis University,Orthodontics
University of Rochester Eastman Institute for Oral Health,Orthodontics
University of Pennsylvania,Orthodontics/Periodontics
University of Alabama at Birmingham,Pediatric Dentistry
Denver Health Medical Center,Pediatric Dentistry
Loma Linda University,Pediatric Dentistry
"University of California, Los Angeles",Pediatric Dentistry
"University of California, San Francisco - 3 Year",Pediatric Dentistry
Herman Ostrow School of Dentistry of USC,Pediatric Dentistry
Children's Hospital Colorado,Pediatric Dentistry
Connecticut Children's Med Ctr & University of Connecticut Health Ctr,Pediatric Dentistry
Children's National Hospital Center,Pediatric Dentistry
Howard University,Pediatric Dentistry
"University of Florida, Gainesville",Pediatric Dentistry
Dental College of Georgia at Augusta University,Pediatric Dentistry
Ann & Robert H. Lurie Children's Hospital of Chicago,Pediatric Dentistry
University of Illinois at Chicago,Pediatric Dentistry
Indiana University,Pediatric Dentistry
University of Iowa,Pediatric Dentistry
University of Kentucky,Pediatric Dentistry
Louisiana State University School of Dentistry,Pediatric Dentistry
University of Maryland,Pediatric Dentistry
Children's Hospital Boston,Pediatric Dentistry
Tufts University,Pediatric Dentistry
Children's Hospital of Michigan,Pediatric Dentistry
University of Minnesota,Pediatric Dentistry
Children's Mercy Hospital and Clinics in Kansas City Missouri,Pediatric Dentistry
University of Nebraska Medical Center,Pediatric Dentistry
Rutgers School of Dental Medicine,Pediatric Dentistry
Montefiore Medical Center/Albert Einstein College of Medicine,Pediatric Dentistry
"NYU Langone Dental Medicine - Providence, RI Site",Pediatric Dentistry
University at Buffalo School of Dental Medicine,Pediatric Dentistry
The Mount Sinai Hospital,Pediatric Dentistry
New York Presbyterian Hospital - Columbia University Medical Center,Pediatric Dentistry
University of Rochester Eastman Institute for Oral Health,Pediatric Dentistry
Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center,Pediatric Dentistry
"NYU Langone Dental Medicine  - Brooklyn, NY",Pediatric Dentistry
Maimonides Medical Center,Pediatric Dentistry
St. Barnabas Hospital,Pediatric Dentistry
University of North Carolina at Chapel Hill Adams School of Dentistry,Pediatric Dentistry
The University of Mississippi Medical Center,Pediatric Dentistry
Cincinnati Children's Hospital Medical Center,Pediatric Dentistry
The Ohio State University & Nationwide Children's Hospital,Pediatric Dentistry
St. Christopher's Hospital for Children,Pediatric Dentistry
Case Western Reserve University,Pediatric Dentistry
University of Puerto Rico,Pediatric Dentistry
Medical University of South Carolina,Pediatric Dentistry
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Pediatric Dentistry
Texas A&M College of Dentistry,Pediatric Dentistry
University of Texas School of Dentistry at Houston,Pediatric Dentistry
University of Texas Health Science Center at San Antonio,Pediatric Dentistry
Primary Children's Hospital,Pediatric Dentistry
Virginia Commonwealth University,Pediatric Dentistry
"University of Washington, Seattle",Pediatric Dentistry
Children's Hospital of Wisconsin,Pediatric Dentistry
University of Michigan,Pediatric Dentistry
Temple University Hospital,Pediatric Dentistry
Nicklaus Children's Hospital,Pediatric Dentistry
"NYU Langone Dental Medicine - Anchorage, AK Site",Pediatric Dentistry
Nova Southeastern University,Pediatric Dentistry
Children's Hospital of Pittsburgh,Pediatric Dentistry
New York University College of Dentistry,Pediatric Dentistry
"University of Florida, Naples",Pediatric Dentistry
University of Toledo,Pediatric Dentistry
Boston University Henry M Goldman School of Dental Medicine,Pediatric Dentistry
"One Brooklyn Health (Brookdale, Interfaith, Kingsbrook)",Pediatric Dentistry
"University of Nevada, Las Vegas",Pediatric Dentistry
University of Pennsylvania,Pediatric Dentistry
Yale-New Haven Hospital,Pediatric Dentistry
BronxCare Health System,Pediatric Dentistry
"NYU Langone Dental Medicine - San Diego, CA",Pediatric Dentistry
Jacobi Medical Center,Pediatric Dentistry
Oregon Health & Science University,Pediatric Dentistry
"Staten Island University Hospital, Northwell Health",Pediatric Dentistry
Stony Brook University - School of Dental Medicine,Pediatric Dentistry
University of Pittsburgh,Pediatric Dentistry
University of Louisville,Pediatric Dentistry
Geisinger Medical Center,Pediatric Dentistry
NYU Langone Dental Medicine - Hawaii Site,Pediatric Dentistry
"NYU Langone Dental Medicine - Tucson, AZ",Pediatric Dentistry
NYU Langone Dental Medicine - Massachusetts,Pediatric Dentistry
"NYU Langone Dental Medicine - Yakima Valley, WA",Pediatric Dentistry
St. Joseph's Regional Medical Center,Pediatric Dentistry
NYU Langone Dental Medicine - Maryland Region,Pediatric Dentistry
Bon Secours St Mary's Hospital of Richmond,Pediatric Dentistry
Woodhull Medical Center,Pediatric Dentistry
"NYU Langone Dental Medicine - Tampa, FL",Pediatric Dentistry
"NYU Langone Dental Medicine - Phoenix, AZ",Pediatric Dentistry
"University of Florida, Gainesville (Advanced Placement in Pediatric Dentistry for Internationally-Educated Pediatric Dentists)",Pediatric Dentistry
NYU Langone Dental Medicine - Tennessee,Pediatric Dentistry
Wyckoff Heights Medical Center,Pediatric Dentistry
East Carolina University School of Dental Medicine,Pediatric Dentistry
Hennepin County Medical Center,Pediatric Dentistry
Jamaica Hospital,Pediatric Dentistry
Nemours/A.I. duPont Hospital for Children,Pediatric Dentistry
Saint Louis University,Pediatric Dentistry
"University of California, San Francisco - 2 Year",Pediatric Dentistry
"NYU Langone Dental Medicine - Columbia, MO",Pediatric Dentistry
Case Western Reserve University,Periodontics
University of Detroit Mercy,Periodontics
University of Minnesota,Periodontics
Boston University Henry M Goldman School of Dental Medicine,Periodontics
Stony Brook University - School of Dental Medicine,Periodontics
University of Louisville,Periodontics
Loma Linda University,Periodontics
University of Texas School of Dentistry at Houston,Periodontics
Nova Southeastern University,Periodontics
Herman Ostrow School of Dentistry of USC,Periodontics
Tufts University,Periodontics
Oregon Health & Science University,Periodontics
University of North Carolina at Chapel Hill Adams School of Dentistry,Periodontics
Dental College of Georgia at Augusta University,Periodontics
"University of California, Los Angeles",Periodontics
"Temple University, Kornberg School of Dentistry",Periodontics
University of Pennsylvania,Periodontics
University of Alabama at Birmingham,Periodontics
University of Pittsburgh,Periodontics
Louisiana State University School of Dentistry,Periodontics
Harvard School of Dental Medicine,Periodontics
"University of California, San Francisco",Periodontics
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Periodontics
"University of Florida, Gainesville",Periodontics
New York University College of Dentistry,Periodontics
University of Illinois at Chicago,Periodontics
Medical University of South Carolina,Periodontics
V.A. Greater Los Angeles Healthcare System,Periodontics
Columbia University College of Dental Medicine,Periodontics
University of Texas Health Science Center at San Antonio,Periodontics
Indiana University,Periodontics
Marquette University,Periodontics
University of Washington,Periodontics
University of Maryland,Periodontics
University of Nebraska Medical Center,Periodontics
University of Connecticut,Periodontics
Texas A&M College of Dentistry,Periodontics
University of Oklahoma College of Dentistry,Periodontics
West Virginia University,Periodontics
Saint Louis University,Periodontics
Virginia Commonwealth University,Periodontics
University of Kentucky,Periodontics
University of Rochester Eastman Institute for Oral Health,Periodontics
Boston University Henry M Goldman School of Dental Medicine,Prosthodontics
Nova Southeastern University,Prosthodontics
Texas A&M College of Dentistry,Prosthodontics
University of Illinois at Chicago,Prosthodontics
Loma Linda University,Prosthodontics
University of Texas School of Dentistry at Houston,Prosthodontics
Montefiore Medical Center/Albert Einstein College of Medicine,Prosthodontics
Louisiana State University School of Dentistry,Prosthodontics
University of North Carolina at Chapel Hill Adams School of Dentistry,Prosthodontics
University of Pittsburgh,Prosthodontics
University of Alabama at Birmingham,Prosthodontics
University of Maryland,Prosthodontics
Indiana University,Prosthodontics
Marquette University,Prosthodontics
New York University College of Dentistry,Prosthodontics
University of Rochester Eastman Institute for Oral Health,Prosthodontics
"University of California, San Francisco",Prosthodontics
Harvard School of Dental Medicine,Prosthodontics
Herman Ostrow School of Dentistry of USC,Prosthodontics
Tufts University,Prosthodontics
Dental College of Georgia at Augusta University,Prosthodontics
"V.A. Medical Center, Houston",Prosthodontics
"University of California, Los Angeles",Prosthodontics
The Ohio State University,Prosthodontics
University of Connecticut,Prosthodontics
University of Puerto Rico,Prosthodontics
West Virginia University,Prosthodontics
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Prosthodontics
"University of Florida, Gainesville",Prosthodontics
Stony Brook University - School of Dental Medicine,Prosthodontics
University of Louisville,Prosthodontics
University of Iowa,Prosthodontics
Columbia University College of Dental Medicine,Prosthodontics
University of Texas Health Science Center at San Antonio,Prosthodontics
University of Minnesota,Prosthodontics
"Zablocki V.A. Great Lakes - Milwaukee, WI",Prosthodontics
Rutgers School of Dental Medicine,Prosthodontics
University of Pennsylvania,Prosthodontics
"V.A. Medical Center, New York",Prosthodontics
V.A. Greater Los Angeles Healthcare System - West Los Angeles,Prosthodontics
University of Washington,Prosthodontics
